fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matrícula,mx1,my1,mx2,my2,texto_matricula
2626,car,"tensor(0.8638, device='cuda:0')",10548,1215,317,1575,562,pl_license_plate,"tensor(0.5858, device='cuda:0')",1385,518,1480,543,4965 KBP
2627,car,"tensor(0.8686, device='cuda:0')",10551,1218,318,1589,568,pl_license_plate,"tensor(0.6569, device='cuda:0')",1399,526,1497,550,4965 KBP
2628,car,"tensor(0.8880, device='cuda:0')",10554,1221,317,1613,574,pl_license_plate,"tensor(0.6103, device='cuda:0')",1413,533,1514,559,1965 KBB
2629,car,"tensor(0.8813, device='cuda:0')",10557,1224,318,1633,583,pl_license_plate,"tensor(0.7857, device='cuda:0')",1430,541,1535,568,4965 KBP
2630,car,"tensor(0.8976, device='cuda:0')",10560,1229,320,1656,601,pl_license_plate,"tensor(0.5161, device='cuda:0')",1448,551,1557,579,1965 KBB
2631,car,"tensor(0.9238, device='cuda:0')",10563,1228,319,1682,606,pl_license_plate,"tensor(0.8473, device='cuda:0')",1469,561,1581,589,4965 KBP
2632,car,"tensor(0.9003, device='cuda:0')",10566,1236,320,1710,614,pl_license_plate,"tensor(0.8357, device='cuda:0')",1490,572,1608,601,1965 KBB
2633,car,"tensor(0.9190, device='cuda:0')",10569,1242,322,1740,629,pl_license_plate,"tensor(0.8752, device='cuda:0')",1517,584,1636,613,1965KB2
2634,car,"tensor(0.9310, device='cuda:0')",10572,1249,323,1775,636,pl_license_plate,"tensor(0.7902, device='cuda:0')",1543,597,1670,626,4965K
2635,car,"tensor(0.9273, device='cuda:0')",10575,1255,322,1815,650,pl_license_plate,"tensor(0.8428, device='cuda:0')",1575,610,1709,643,136342
2636,car,"tensor(0.9287, device='cuda:0')",10579,1264,322,1854,667,pl_license_plate,"tensor(0.8379, device='cuda:0')",1608,625,1747,660,W
2637,car,"tensor(0.9225, device='cuda:0')",10583,1272,319,1901,687,pl_license_plate,"tensor(0.7159, device='cuda:0')",1648,642,1795,677,B
2638,car,"tensor(0.8849, device='cuda:0')",10586,1278,319,1920,691,pl_license_plate,"tensor(0.7445, device='cuda:0')",1689,663,1844,690,ea
2639,car,"tensor(0.9243, device='cuda:0')",10589,1286,318,1920,728,pl_license_plate,"tensor(0.8235, device='cuda:0')",1741,682,1905,721,B?
2640,car,"tensor(0.9253, device='cuda:0')",10591,1299,319,1919,751,pl_license_plate,"tensor(0.8480, device='cuda:0')",1797,705,1918,746,W
2641,car,"tensor(0.9386, device='cuda:0')",10594,1311,320,1919,784,d_license_plate,"tensor(0.6081, device='cuda:0')",1860,730,1918,772,
2685,car,"tensor(0.8980, device='cuda:0')",10791,1595,322,1919,503,pl_license_plate,"tensor(0.6427, device='cuda:0')",1834,400,1893,416,
