fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matrícula,mx1,my1,mx2,my2,texto_matricula
1780,car,"tensor(0.8438, device='cuda:0')",7733,897,289,1121,452,pl_license_plate,"tensor(0.8810, device='cuda:0')",948,399,1004,416,656
1781,car,"tensor(0.8274, device='cuda:0')",7738,887,290,1118,456,pl_license_plate,"tensor(0.6852, device='cuda:0')",939,401,997,418,Cesae
1782,car,"tensor(0.8404, device='cuda:0')",7743,878,289,1116,458,pl_license_plate,"tensor(0.8123, device='cuda:0')",929,404,988,421,6564
1783,car,"tensor(0.8579, device='cuda:0')",7747,865,286,1110,464,pl_license_plate,"tensor(0.7920, device='cuda:0')",920,406,980,424,Eace
1784,car,"tensor(0.8786, device='cuda:0')",7749,856,286,1106,467,pl_license_plate,"tensor(0.8203, device='cuda:0')",909,408,971,427,85284
1785,car,"tensor(0.8831, device='cuda:0')",7753,840,284,1102,472,pl_license_plate,"tensor(0.7134, device='cuda:0')",898,411,962,430,6526
1786,car,"tensor(0.8957, device='cuda:0')",7757,827,285,1098,473,pl_license_plate,"tensor(0.7899, device='cuda:0')",886,414,951,432,bi
1787,car,"tensor(0.8890, device='cuda:0')",7760,814,283,1093,481,pl_license_plate,"tensor(0.7935, device='cuda:0')",874,417,941,436,B56
1788,car,"tensor(0.8698, device='cuda:0')",7763,799,283,1089,485,pl_license_plate,"tensor(0.7807, device='cuda:0')",860,420,931,440,6536L7
1789,car,"tensor(0.8857, device='cuda:0')",7766,786,281,1081,490,pl_license_plate,"tensor(0.8024, device='cuda:0')",847,425,918,444,B5
1790,car,"tensor(0.9192, device='cuda:0')",7769,768,278,1077,494,pl_license_plate,"tensor(0.8664, device='cuda:0')",832,428,905,448,B
1791,car,"tensor(0.9082, device='cuda:0')",7772,753,280,1071,499,d_license_plate,"tensor(0.4918, device='cuda:0')",815,431,891,453,@S36La
1792,car,"tensor(0.9109, device='cuda:0')",7775,734,279,1066,506,pl_license_plate,"tensor(0.4575, device='cuda:0')",799,437,877,458,BA
1793,car,"tensor(0.9109, device='cuda:0')",7778,713,278,1060,513,d_license_plate,"tensor(0.4042, device='cuda:0')",780,441,862,464,BL
1794,car,"tensor(0.9065, device='cuda:0')",7781,696,277,1053,519,pl_license_plate,"tensor(0.8076, device='cuda:0')",762,447,844,470,B
1795,car,"tensor(0.9270, device='cuda:0')",7783,670,278,1046,532,pl_license_plate,"tensor(0.8576, device='cuda:0')",740,451,826,475,BHL
1796,car,"tensor(0.9241, device='cuda:0')",7786,646,274,1039,535,d_license_plate,"tensor(0.4024, device='cuda:0')",717,456,807,482,BLA
1797,car,"tensor(0.9262, device='cuda:0')",7789,619,274,1030,543,pl_license_plate,"tensor(0.5993, device='cuda:0')",693,463,786,489,B
1798,car,"tensor(0.9087, device='cuda:0')",7792,589,270,1024,555,pl_license_plate,"tensor(0.4571, device='cuda:0')",665,467,764,496,b
1799,car,"tensor(0.8855, device='cuda:0')",7796,562,271,1015,566,pl_license_plate,"tensor(0.7699, device='cuda:0')",636,472,738,503,B
1800,car,"tensor(0.9073, device='cuda:0')",7799,527,269,1006,575,pl_license_plate,"tensor(0.8400, device='cuda:0')",604,480,711,512,D
1803,car,"tensor(0.9334, device='cuda:0')",7811,407,264,977,613,pl_license_plate,"tensor(0.8235, device='cuda:0')",486,506,609,544,
1804,car,"tensor(0.9256, device='cuda:0')",7817,355,259,965,628,pl_license_plate,"tensor(0.8477, device='cuda:0')",438,517,565,555,Wt
1805,car,"tensor(0.9319, device='cuda:0')",7822,302,256,952,645,pl_license_plate,"tensor(0.5341, device='cuda:0')",383,530,521,573,
1806,car,"tensor(0.9290, device='cuda:0')",7825,242,252,940,670,pl_license_plate,"tensor(0.6690, device='cuda:0')",323,544,468,592,
1807,car,"tensor(0.9367, device='cuda:0')",7828,172,243,925,688,pl_license_plate,"tensor(0.4881, device='cuda:0')",252,560,407,612,
1918,car,"tensor(0.8279, device='cuda:0')",8232,839,254,1134,469,pl_license_plate,"tensor(0.4732, device='cuda:0')",907,411,966,428,Bua
1921,car,"tensor(0.8864, device='cuda:0')",8244,788,247,1103,487,pl_license_plate,"tensor(0.7881, device='cuda:0')",860,421,927,441,DBLi
1922,car,"tensor(0.8927, device='cuda:0')",8250,768,248,1100,494,pl_license_plate,"tensor(0.6830, device='cuda:0')",843,426,912,445,BA
